model,final_train_loss,final_val_loss,final_train_mse,final_val_mse,final_val_accuracy,best_val_accuracy,epochs_run
reg_none,0.29107362031936646,0.29467517137527466,0.015292653813958168,0.015363172627985477,0.8921111226081848,0.8921111226081848,8
reg_l2,0.3703750669956207,0.3857578933238983,0.01468508131802082,0.015521976165473461,0.890666663646698,0.890666663646698,8
reg_l1,0.7837474942207336,0.8242438435554504,0.02118651568889618,0.024550940841436386,0.8215555548667908,0.8558889031410217,8
reg_l1_l2,0.7866227030754089,0.8371277451515198,0.02161289006471634,0.025371728464961052,0.8133333325386047,0.8608888983726501,8
