model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.5966237227898712,0.7072812594764497,0.5966237227898712,0.6260037816857125,0.8408268300357506
random_forest,0.7054642381163927,0.7420672463375796,0.7054642381163927,0.7136036631818568,0.8631502686275048
svm,0.6361617059084851,0.7276710462193392,0.6361617059084851,0.6616919664102898,0.8836942604303268
knn,0.7734340293203021,0.7702368094890563,0.7734340293203021,0.7707650640394261,0.8942156071174122
