model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.31384615384615383,0.49917999849707323,0.31384615384615383,0.3651915128726053,0.7055251648927281
random_forest,0.5907692307692308,0.5942911886244935,0.5907692307692308,0.5867065165173077,0.7899265353752337
svm,0.4543589743589744,0.5568542146647287,0.4543589743589744,0.48087782515058286,0.7651960940750709
knn,0.5733333333333334,0.5664373771734083,0.5733333333333334,0.5625504872401836,0.7560797511745827
